Date,Open,High,Low,Close,Adj Close,Volume
2017-11-17,60.459999,60.560001,59.860001,59.990002,59.611267,154000
2017-11-20,59.880001,60.169998,59.820000,59.900002,59.521832,168400
2017-11-21,60.000000,60.500000,59.849998,60.330002,59.949120,153700
2017-11-22,60.389999,60.639999,59.849998,60.189999,59.810001,152200
2017-11-23,60.009998,60.009998,59.470001,59.700001,59.700001,57800
2017-11-24,59.869999,60.119999,59.610001,59.669998,59.669998,70100
2017-11-27,59.700001,59.970001,59.360001,59.380001,59.380001,103800
2017-11-28,59.369999,59.619999,58.669998,59.049999,59.049999,192000
2017-11-29,59.200001,59.759998,59.049999,59.139999,59.139999,159900
2017-11-30,59.380001,60.689999,58.900002,60.169998,60.169998,367900
2017-12-01,60.189999,60.310001,59.240002,59.889999,59.889999,156000
2017-12-04,60.000000,60.520000,59.830002,60.270000,60.270000,189200
2017-12-05,60.349998,61.020000,60.080002,60.279999,60.279999,170400
2017-12-06,60.139999,60.189999,59.439999,59.860001,59.860001,148100
2017-12-07,59.849998,59.910000,59.310001,59.459999,59.459999,101000
2017-12-08,59.580002,60.180000,59.450001,60.000000,60.000000,90200
2017-12-11,59.990002,60.070000,59.419998,59.570000,59.570000,87000
2017-12-12,59.520000,59.939999,59.310001,59.650002,59.650002,91900
2017-12-13,59.610001,60.160000,59.599998,59.779999,59.779999,113500
2017-12-14,59.779999,59.849998,58.779999,58.820000,58.820000,90900
2017-12-15,59.070000,59.529999,58.919998,58.980000,58.980000,236645
